 
================================================================================
                                                                                
               fso-data-check utility for TIO data @ fso                  
                       Release 20190721-0931                                    
                                                                                
20190913 20:30:02 : Checking the fits file numbers & size                    
                    @ /cygdrive/e/20190913/TIO                                                     
                    Please wait...                                              
                    Press ctrl-c to break!                                      
                                                                                
================================================================================
 
20190913 20:36:27: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:28: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:29: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:30: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:31: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:32: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:33: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:34: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:35: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:36: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:37: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:38: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:40: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:41: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:42: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:43: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:44: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:45: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:46: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:47: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:48: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:49: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:50: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:51: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:52: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:53: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:54: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:56: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:57: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:58: Getting TIO fits file(s) info, Please Wait...   
20190913 20:36:59: Getting TIO fits file(s) info, Please Wait...   
20190913 20:37:00: Getting TIO fits file(s) info, Please Wait...   
20190913 20:37:01: Getting TIO fits file(s) info, Please Wait...   
20190913 20:37:02: Getting TIO fits file(s) info, Please Wait...   
20190913 20:37:03: Getting TIO fits file(s) info, Please Wait...   
20190913 20:37:04: Getting TIO fits file(s) info, Please Wait...   
20190913 20:37:05: Getting TIO fits file(s) info, Please Wait...   
20190913 20:37:06: Getting TIO fits file(s) info, Please Wait...   
20190913 20:37:07: Getting TIO fits file(s) info, Please Wait...   
20190913 20:37:08: Getting TIO fits file(s) info, Please Wait...   
20190913 20:37:09: Getting TIO fits file(s) info, Please Wait...   
20190913 20:37:10: Getting TIO fits file(s) info, Please Wait...   
20190913 20:37:11: Getting TIO fits file(s) info, Please Wait...   
20190913 20:37:13: Getting TIO fits file(s) info, Please Wait...   
20190913 20:37:14: Getting TIO fits file(s) info, Please Wait...   
20190913 20:37:15: Getting TIO fits file(s) info, Please Wait...   
20190913 20:37:16: Getting TIO fits file(s) info, Please Wait...   
20190913 20:37:17: Getting TIO fits file(s) info, Please Wait...   
20190913 20:37:18: Getting TIO fits file(s) info, Please Wait...   
20190913 20:37:19: Getting TIO fits file(s) info, Please Wait...   
20190913 20:37:20: Getting TIO fits file(s) info, Please Wait...   
20190913 20:37:21: Getting TIO fits file(s) info, Please Wait...   
20190913 20:37:22: Getting TIO fits file(s) info, Please Wait...   
